Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Marin Community College District Police Department,Marin, ,2019-01-21 12:58:00,Our victim advised that her credit card and personal ID was being used fraudulently.  ,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-09-06 00:00:00,2018-10-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
Marin Community College District Police Department,Marin, ,2019-01-21 12:51:00,Our victim advised her credit card may have been skimmed in our jurisdiction.  ,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-09-06 00:00:00,2018-10-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
Los Angeles County Sheriff,Los Angeles, ,2019-01-18 12:29:00,Homicide,Homicide, ,Missing Person,Business,Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-12-01 00:00:00,2018-10-15 00:00:00,Warrant for arrest,lead to flight from prosecution,No, ,eswn2019.xlsx,2019
Monterey Police Dept,Monterey,18-276,2019-01-15 14:35:00,Investigation of a marijuana dispensary robbery,Crime of Violence,Robbery, ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2018-10-05 00:00:00,2018-10-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2019.xlsx,2019
California Department of Justice,Sacramento, ,2019-01-22 13:13:00,"Criminal investigation into two websites, Mugshots.com and Unpublish.com, for suspected extortion.","Computer Crime Fraud
Theft/Fraud
Threats/Harassment
", , ,Business,"Google Inc., Yahoo Inc/Oath Holdings","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-14 00:00:00,2018-06-19 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2019.xlsx,2019
Benicia PD,Solano, ,2019-01-10 16:15:00,On 1/5/19 an unknown suspect struck Victim with their unknown vehicle causing fatal injuries.,Homicide, , ,Business,Google Inc.,"Basic subscriber information from a service provider
Location information
",2019-01-05 00:00:00,2019-01-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
San Luis Obispo County District Attorney's Office,San Luis Obispo,12579,2019-01-09 10:30:00,PC 187,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
",2018-01-01 00:00:00,2018-11-02 00:00:00,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
San Luis OBispo County District Attorneys Office,San Luis Obispo,12576,2019-01-09 10:26:00,PC 187,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-10-01 00:00:00,2018-11-02 00:00:00,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
Northern California Computer Crimes Task Force,Napa,HT16-129,2019-01-08 10:09:00,identifying suspects' devices  ,Crime of Violence,Robbery, ,Business,Google,Location information,2016-10-26 00:00:00,2016-10-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2019.xlsx,2019
Walnut Creek PD,Contra Costa, ,2019-01-03 15:54:00,Residential Burglary Series,Theft/Fraud, , ,Business,Google LLC,Location information,2018-11-26 00:00:00,2018-12-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
Stockton Police Department,San Joaquin,17-33948g,2019-01-03 14:00:00,Homicide of [redacted] and attempted homicide of [redacted],Homicide, , ,Business,Google LLC,Other transactional and account records from a service provider,2017-08-20 00:00:00,2017-09-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
CATCH - San Diego Sheriff,San Diego,59217 59218 ,2019-01-02 07:39:00,Financial fraud using gmail and Microsoft Azure.,"Computer Crime Fraud
Theft/Fraud
", , ,Business,Google & Suntrust,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-10-01 00:00:00,2018-12-28 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
Orange County Sheriff's Department,Orange,19-9724,2019-01-14 09:19:00,Suspect conducted a car sale scam on Craigslist.,Theft/Fraud, , ,Business,"Craigslist, Google, Microsoft, Amazon, Comcast","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2018-10-01 00:00:00,2018-11-30 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2019.xlsx,2019
Placer County Sheriff's Office,Placer,63-20774,2019-12-27 09:26:00,Burglary investigation,Theft/Fraud, , ,Business,Google LLC,Location information,2019-04-24 00:00:00,2019-04-24 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
California DOJ,Sacramento, ,2019-01-22 14:10:00,Threat,Threats/Harassment, , ,Business,Google and GCI,Basic subscriber information from a service provider,2018-03-01 00:00:00,2018-04-28 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2019.xlsx,2019
Los Angeles Police Department,Los Angeles,81224,2019-01-23 06:44:00,Bomb/Hostage Threat - Swatting,Threats/Harassment, , ,Business,"Google, Icehook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2018-08-01 00:00:00,2019-01-04 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
